timestamp,connected_clients,cpu_percent,memory_mb,throughput_msgs_per_sec,avg_delay_ms
15:19:17,5,0.0,20.89,0,
15:19:18,5,0.0,20.89,1,
15:19:19,5,1.0,20.89,0,0.25
15:19:20,5,0.0,20.89,0,
15:19:21,5,0.0,20.89,0,
15:19:22,5,0.0,20.89,0,
15:19:23,5,0.0,20.89,0,
15:19:24,5,0.0,20.89,0,
15:19:25,5,0.0,20.89,0,
15:19:26,5,0.0,20.9,1,
15:19:27,5,0.0,20.9,0,
15:19:28,5,0.0,20.9,0,
15:19:29,5,0.0,20.9,0,
15:19:30,5,0.0,20.9,0,
15:19:31,5,0.0,20.9,0,
15:19:32,5,0.0,20.9,0,
15:19:33,5,0.0,20.9,0,
15:19:34,5,0.0,20.9,0,0.38
15:19:35,5,0.0,20.9,0,
15:19:36,5,0.0,20.9,0,
15:19:37,5,0.0,20.9,0,
15:19:38,5,0.0,20.9,4,
15:19:39,4,0.0,20.9,0,
15:19:40,4,0.0,20.9,0,
15:19:41,4,0.0,20.9,0,
15:19:42,4,0.0,20.9,0,
15:19:43,4,0.0,20.9,0,
15:19:44,4,0.0,20.9,0,
15:19:45,4,0.0,20.9,0,
15:19:46,4,0.0,20.9,0,
15:19:47,4,0.0,20.9,0,
15:19:48,4,0.0,20.9,0,
15:19:49,4,0.0,20.9,0,0.54
15:19:50,4,0.0,20.9,0,
15:19:51,4,0.0,20.9,0,
15:19:52,4,0.0,20.92,0,
15:19:53,4,0.0,20.92,0,
15:19:54,4,1.0,20.92,0,
15:19:55,4,0.0,20.92,0,
15:19:56,4,0.0,20.92,0,
15:19:57,4,0.0,20.92,0,
15:19:58,4,0.0,20.92,0,
15:19:59,4,0.0,20.92,0,
15:20:00,4,0.0,20.92,0,
15:20:01,4,0.0,20.92,0,
15:20:02,4,0.0,20.92,0,
15:20:03,4,0.0,20.92,0,
15:20:04,4,0.0,20.92,0,0.4
15:20:05,4,0.0,20.92,0,
15:20:06,4,0.0,20.92,3,
15:20:07,3,0.0,20.92,2,
15:20:08,2,0.0,20.92,0,
15:20:09,2,0.0,20.92,0,
15:20:10,2,0.0,20.92,0,
15:20:11,2,0.0,20.92,0,
15:22:49,0,0.0,20.83,0,
